Name,Price,Whitespace_revision,Whitespace,#_of_color,colorfulness_1,percentage_of dominant,dominant_color,dominant_r,dominant_g,dominant_b
A. Lange & S_hne (Richemont Group),Luxury,0.967964506,0.958119599,78,0.104641646,0.965097222,(224 224 224),254,254,254
Audemars Piguet,Luxury,0.705056327,0.342673611,61,0.717996779,0.266207562,(0 0 0),0,0,0
Ball,Luxury,0.613505401,0.526183642,70,0.521074569,0.308841049,(0 0 0),0,0,0
Baume & Mercier (Richemont Group),Luxury,0.812530864,0.463194444,69,0.106223967,0.340232253,(224 224 224),254,254,254
Bell & Ross,Luxury,0.392598884,,169,0.582070363,0.197059767,(0 0 0),0,0,0
Benrus,Economy,0.517266975,0.194631173,72,0.627391467,0.119459105,(224 224 224),254,254,254
Blancpain (Swatch Group),Luxury,0.789542438,0.734787037,246,0.319422552,0.705548611,(0 0 0),0,0,0
Breguet,Luxury,0.79325463,0.70721142,112,0.541127582,0.317111111,(192 192 192),218,218,218
Breitling,Luxury,0.837141975,0.704903549,92,0.532603862,0.609382716,(0 0 0),0,0,0
Bremont,Luxury,0.623613426,0.260668981,112,0.424940385,0.21317284,(224 224 224),244,244,240
Bulova,Economy,0.760810957,0.667145833,186,0.302798104,0.503710648,(224 224 224),254,254,254
Bvlgari (LVMH),Luxury,0.624126543,0.414738426,127,0.535677688,0.174135031,(0 0 0),0,0,0
Cartier (Richemont Group),Luxury,0.796131847,,114,0.461818556,0.479862574,(0 0 0),0,0,0
Casio,Economy,0.849779577,0.642699074,162,0.727299659,0.244995874,(0 0 0),0,0,4
Certina (Swatch Group),Premium,0.758635031,,331,0.392615142,0.551830247,(224 224 224),254,254,254
Chopard,Luxury,0.690735683,,155,0.8086447,0.142410724,(224 224 224),254,254,254
Christopher Ward,Luxury,0.840011574,0.720277778,162,0.463894525,0.55823534,(224 224 224),254,254,254
Chronoswiss,Luxury,0.866207562,0.779844136,86,0.060128947,0.790469907,(224 224 224),254,254,254
Citizen,Economy,0.814463745,,176,0.460506746,0.54612019,(224 224 224),254,254,254
Diesel,Economy,0.938013889,0.92964892,139,0.840243232,0.64458642,(128 128 128),136,132,140
Doxa,Luxury,0.729247685,0.507444444,298,0.53187335,0.355766975,(32 32 32),50,50,50
Ebel (Movado),Luxury,0.768330277,,90,0.175760268,0.302791532,(32 0 0),44,20,0
F.P. Journe,Luxury,0.83063594,,122,0.380818762,0.074422719,(0 0 0),12,12,12
Fortis,Luxury,0.507081019,0.393654321,247,0.57648943,0.35273071,(0 0 0),0,0,0
Fossil,Economy,0.967050926,0.965435957,95,0.361899016,0.548425154,(224 224 192),240,232,218
Fr_d_rique Constant,Premium,0.818368827,0.085393519,104,0.491279558,0.004140432,(192 192 192),214,214,208
Girard,Luxury,0.860106481,0.778596451,134,0.240687211,0.385125772,(32 32 32),38,38,38
GlashÙtte Original (Swatch Group),Luxury,0.330109567,,243,0.577983337,0.098545719,(0 0 0),0,0,0
Gucci,Luxury,0.885390432,0.848993827,96,0.141610483,0.710511574,(224 224 224),254,254,254
Guess,Economy,0.84987963,0.760573302,177,0.509556294,0.643939815,(224 224 224),254,254,254
Hamilton (Swatch Group),Premium,0.534223765,0.181486883,94,0.595016387,0.175800154,(224 224 224),254,254,254
Hermes,Luxury,0.883886574,0.833949846,114,0.101064644,0.849185185,(224 224 224),254,254,254
HMT,Economy,0.301444681,,340,0.507418175,0.079457459,(224 224 192),232,248,212
Hublot (LVMH),Luxury,0.168017984,,112,0.415694833,0.063272891,(0 0 0),0,0,0
Invicta,Economy,0.695990741,0.563657407,338,0.682384936,0.410986111,(224 224 224),254,254,254
IWC (Richemont Group),Luxury,0.810119599,0.710543981,127,0.686229991,0.589541667,(224 224 224),236,238,240
Jaeger,Luxury,0.764721451,0.586626543,120,0.353970947,0.430719907,(0 0 0),0,0,0
Junghans,Luxury,0.862240741,0.683524691,75,0.538625681,0.298237654,(0 0 0),0,0,0
Longines (Swatch Group),Luxury,0.838702073,,166,0.242069376,0.778726299,(224 224 224),254,254,254
Luminox,Luxury,0.806871142,0.602199846,104,0.347910508,0.472758488,(0 0 0),0,0,0
Marathon,Premium,0.165429784,0.105528549,103,0.255464159,0.438716821,(32 32 32),34,34,34
MB&F,Luxury,0.870513117,0.735384259,100,0.145342936,0.307577932,(0 0 0),0,0,0
Michael Kors,Economy,0.73302657,,94,0.900133331,0.117018139,(96 96 96),254,254,254
Mido (Swatch Group),Premium,0.727058642,0.436752315,135,0.246025817,0.410840278,(32 32 32),32,32,32
Mondaine,Economy,0.851641975,0.771795525,187,0.267692276,0.793298611,(224 224 224),254,254,254
Montblanc,Luxury,0.516209105,0.396798611,102,0.456487288,0.185685957,(224 224 224),254,254,254
Movado,Premium,0.938045525,0.252297068,62,0.645045535,0.244425154,(96 96 96),254,254,254
Nixon,Economy,0.757025463,0.055152778,107,0.580721794,0.13401929,(32 32 32),42,42,42
Nomos GlashÙtte,Luxury,0.836338327,,181,0.305493523,0.561952778,(224 224 224),238,238,238
Omega (Swatch Group),Luxury,0.749564043,0.657231481,118,0.778619262,0.336405093,(160 160 160),180,180,186
Orient (Seiko),Economy,0.793124228,0.352628086,138,0.231031,0.096999228,(224 224 224),254,254,254
Oris,Luxury,0.467750907,,232,0.50081388,0.151426838,(0 0 0),0,0,0
Panerai (Richemont Group),Luxury,0.898369015,,74,0.145212144,0.612417982,(0 0 0),0,0,0
Patek Philippe,Luxury,0.567585648,0.295861883,88,0.267543917,0.275679784,(64 32 32),70,52,38
Piaget,Luxury,0.889087191,0.828015432,149,0.675080109,0.485703704,(0 0 0),10,14,26
Rado (Swatch Group),Luxury,0.772167438,0.397115741,127,0.267453762,0.224613426,(0 0 0),0,0,0
Raymond Weil,Luxury,0.825958912,0.442704861,113,0.165890888,0.292993634,(224 224 192),230,224,220
Richard Mille,Luxury,0.641290895,0.416895833,145,0.479726938,0.302304784,(0 0 0),0,0,0
Rolex,Luxury,0.810281585,,150,0.356922263,0.057570131,(224 224 224),250,250,250
Rotary,Economy,0.671493056,0.426035494,158,0.613805708,0.183622685,(224 224 224),254,254,254
Seiko,Premium,0.782706456,,103,0.404127202,0.393843447,(224 224 224),254,254,254
Sinn,Luxury,0.871681735,,283,0.660204893,0.595280586,(0 32 32),26,48,54
Skagen,Economy,0.842699074,0.583603395,105,0.441353079,0.448382716,(224 224 224),254,254,254
Stowa Stowa,Luxury,0.918507697,0.863907296,117,0.173650492,0.564598394,(224 224 224),254,254,254
Stuhrling,Economy,0.258109108,0.108777161,141,0.723047176,0.078531361,(0 0 0),0,0,0
Suunto,Economy,0.630861111,0.479295525,126,0.45763733,0.116380401,(224 224 224),44,44,44
Swatch,Economy,0.844021605,0.787468364,251,0.388089083,0.681646605,(224 224 224),254,254,254
Swiss Legend (SWI),Economy,0.913161265,0.701920525,99,0.241445315,0.389653549,(32 32 32),46,46,46
TAG Heuer (LVMH Group),Luxury,0.790936728,0.66871142,154,0.276964755,0.502365741,(224 224 224),254,254,254
Tianjin SeaGull,Economy,0.97845216,0.88270679,30,0.385094339,0.772156636,(0 0 0),0,0,0
Timex,Economy,0.654759259,0.50478858,415,0.390514257,0.448552469,(224 224 224),254,254,254
Tissot (Swatch Group),Premium,0.241505401,0.180861883,223,0.524896193,0.160462963,(224 224 224),254,254,254
Tudor,Luxury,0.843271605,0.699008488,173,0.396215081,0.545533951,(0 0 0),0,0,0
Tutima,Luxury,0.759373457,0.284902778,45,0.666404376,0.124304012,(0 0 0),0,0,0
Ulysse Nardin,Luxury,0.790267747,0.775904321,235,0.481958311,0.6319375,(0 0 0),0,0,0
