Name,Price,Whitespace_revision,Whitespace,color_num,dominant_color,percentage_of dominant
A. Lange & S_hne (Richemont Group),Luxury,0.967964506,0.958119599,78,(224 224 224),0.965097222
Audemars Piguet,Luxury,0.705056327,0.342673611,61,(0 0 0),0.266207562
Ball,Luxury,0.613505401,0.526183642,70,(0 0 0),0.308841049
Baume & Mercier (Richemont Group),Luxury,0.812530864,0.463194444,69,(224 224 224),0.340232253
Bell & Ross,Luxury,0.392598884,,169,(0 0 0),0.197059767
Benrus,Economy,0.517266975,0.194631173,72,(224 224 224),0.119459105
Blancpain (Swatch Group),Luxury,0.789542438,0.734787037,246,(0 0 0),0.705548611
Breguet,Luxury,0.79325463,0.70721142,112,(192 192 192),0.317111111
Breitling,Luxury,0.837141975,0.704903549,92,(0 0 0),0.609382716
Bremont,Luxury,0.623613426,0.260668981,112,(224 224 224),0.21317284
Bulova,Economy,0.760810957,0.667145833,186,(224 224 224),0.503710648
Bvlgari (LVMH),Luxury,0.624126543,0.414738426,127,(0 0 0),0.174135031
Cartier (Richemont Group),Luxury,0.796131847,,114,(0 0 0),0.479862574
Casio,Economy,0.849779577,0.642699074,162,(0 0 0),0.244995874
Certina (Swatch Group),Premium,0.758635031,,331,(224 224 224),0.551830247
Chopard,Luxury,0.690735683,,155,(224 224 224),0.142410724
Christopher Ward,Luxury,0.840011574,0.720277778,162,(224 224 224),0.55823534
Chronoswiss,Luxury,0.866207562,0.779844136,86,(224 224 224),0.790469907
Citizen,Economy,0.814463745,,176,(224 224 224),0.54612019
Diesel,Economy,0.938013889,0.92964892,139,(128 128 128),0.64458642
Doxa,Luxury,0.729247685,0.507444444,298,(32 32 32),0.355766975
Ebel (Movado),Luxury,0.768330277,,90,(32 0 0),0.302791532
F.P. Journe,Luxury,0.83063594,,122,(0 0 0),0.074422719
Fortis,Luxury,0.507081019,0.393654321,247,(0 0 0),0.35273071
Fossil,Economy,0.967050926,0.965435957,95,(224 224 192),0.548425154
Fr_d_rique Constant,Premium,0.818368827,0.085393519,104,(192 192 192),0.004140432
Girard,Luxury,0.860106481,0.778596451,134,(32 32 32),0.385125772
GlashÙtte Original (Swatch Group),Luxury,0.330109567,,243,(0 0 0),0.098545719
Gucci,Luxury,0.885390432,0.848993827,96,(224 224 224),0.710511574
Guess,Economy,0.84987963,0.760573302,177,(224 224 224),0.643939815
Hamilton (Swatch Group),Premium,0.534223765,0.181486883,94,(224 224 224),0.175800154
Hermes,Luxury,0.883886574,0.833949846,114,(224 224 224),0.849185185
HMT,Economy,0.301444681,,340,(224 224 192),0.079457459
Hublot (LVMH),Luxury,0.168017984,,112,(0 0 0),0.063272891
Invicta,Economy,0.695990741,0.563657407,338,(224 224 224),0.410986111
IWC (Richemont Group),Luxury,0.810119599,0.710543981,127,(224 224 224),0.589541667
Jaeger,Luxury,0.764721451,0.586626543,120,(0 0 0),0.430719907
Junghans,Luxury,0.862240741,0.683524691,75,(0 0 0),0.298237654
Longines (Swatch Group),Luxury,0.838702073,,166,(224 224 224),0.778726299
Luminox,Luxury,0.806871142,0.602199846,104,(0 0 0),0.472758488
Marathon,Premium,0.165429784,0.105528549,103,(32 32 32),0.438716821
MB&F,Luxury,0.870513117,0.735384259,100,(0 0 0),0.307577932
Michael Kors,Economy,0.73302657,,94,(96 96 96),0.117018139
Mido (Swatch Group),Premium,0.727058642,0.436752315,135,(32 32 32),0.410840278
Mondaine,Economy,0.851641975,0.771795525,187,(224 224 224),0.793298611
