A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,GlashÙtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos GlashÙtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
1259006,388366,466600,1242085,521768,251015,1007612,638704,915625,260052,886814,748043,796098,310652,836808,236279,877275,1048362,741593,410679,598365,204174,839213,587953,380105,64659,1023971,255055,1218199,950880,411067,1162689,65142,95553,645764,299338,1017780,838018,908145,1065855,1132791,1229850,153259,882140,1137538,550348,398014,648200,895140,133935,724522,496327,995105,133758,448012,374397,130305,812506,730289,565014,663522,118990,807576,2427861,235748,311425,1028845,1183025,801448,1067535,702321,267167,929761,216388,863113,1285282,804691,959537
3,0,345,113,464,13042,3995,51,97,1582,136,2082,6808,293,815,5301,419,1771,41,11,186,1528,520,253,151,23332,240,8775,23,3157,12278,136,734,190,3112,86,1198,67,1039,27,38,1611,4625,318,6453,3466,0,469,243,118,191,1356,16,0,968,157,2468,5666,206,1477,65,53,265,26,112,117,1048,285,4016,865,3252,2783,219,0,307,0,659,118
2,1,204,128,483,11768,3457,328,136,1946,131,4324,4976,1140,1008,1781,236,2444,81,21,214,2276,2055,372,141,14255,492,19120,25,932,13025,229,488,165,3247,150,1372,477,661,126,25,343,4988,332,149,7249,8,783,366,196,754,1992,79,2,1106,361,1779,5157,265,1379,481,59,622,133,225,451,983,628,1474,1824,3146,1821,278,0,336,0,531,220
15,14,58,265,157,11872,2764,258,131,2049,264,7266,2636,283,1111,1738,178,2723,54,33,251,22461,257,830,130,13745,132,13567,33,525,19641,191,418,83,2297,56,1430,23,526,2557,25,155,7926,268,106,4994,104,1401,285,250,957,1083,70,3,1260,132,1284,5081,221,1375,50,58,1310,18,312,499,999,1224,902,951,3392,1232,327,0,287,0,394,118
31,9,22,439,459,14386,2381,843,288,3387,242,9866,2604,1796,1363,1184,150,3432,105,58,336,23874,354,602,112,17837,1006,23517,71,865,21132,512,467,56,1846,211,1606,678,1622,399,66,71,10683,396,185,14263,7430,2023,562,391,1184,1405,130,9,1244,4656,1439,4083,388,1391,442,86,2892,123,604,1019,1368,849,2304,1249,5551,1128,477,0,433,0,429,176
38,45,62,1093,10015,21663,2963,668,382,3919,251,14931,5128,3390,3666,1388,463,7960,1412,76,484,44835,777,1127,80,30482,9926,132103,297,1601,43962,2146,2472,241,3018,1520,2496,4864,2389,739,123,154,16883,1037,199,11750,62244,3268,1444,743,1357,3141,400,93,1926,12718,15527,4631,1179,1773,10975,147,4433,3754,800,1694,2003,1158,4417,2205,9256,1160,719,0,1141,0,1002,1278
64,126,133971,688,9349,23503,2403,555,619,4264,306,28390,9884,3452,2586,1360,793,9060,926,82,928,49194,992,713,90,27287,9251,49522,186,1314,54958,1342,954,778,3322,1137,2212,4214,854,3189,146,114,23488,867,152,10272,23240,5261,1247,2568,1851,7404,896,62,1528,45275,8102,6249,956,2048,5906,85,4393,3496,1489,1832,1603,2221,3686,6379,7751,1074,816,0,820,0,897,1069
76,157,515,677,340,36172,52570,650,941,4906,556,23640,3612,2878,4851,1149,66,12637,233,62,1185,65380,1053,381,130,30280,1414,35282,943,1004,43322,1948,3799,41,1835,307,1775,443,1863,546,119,16,26760,761,233,7486,8597,4721,1134,4160,2646,1411,301,213,1226,31621,2330,5262,569,2452,132,138,2659,96,2398,1797,1151,703,2891,650,7445,1006,628,0,1028,1,425,158
100,25,16,727,1427,35533,1899,1222,842,7190,3620,24523,5796,2253,7487,1260,164,15994,377,84,38899,89939,1085,520,115,59106,5512,49030,269,1505,53607,4789,1196,77,2996,1205,1674,2381,1605,362,130,27,29724,1584,141,9923,63245,6260,1736,7495,4030,2412,254,3215,1450,39056,5356,5404,861,2404,2632,128,896,990,1912,3271,1267,449,129887,2246,16272,874,471,0,1216,1,564,301
119,76,14,521,497,36435,1751,877,1178,5496,17029,32294,8592,1298,9030,1378,30,17161,410,81,2836,34774,2098,406,11730,40845,3813,49707,1268,1388,51598,1490,1128,28,2038,444,1482,211,2245,363,251,10,24282,1297,165,13779,12204,6926,1362,12784,6401,1303,123,364,1469,151505,6594,6431,833,3486,100,143,503,61,2539,3492,970,246,4209,554,22732,785,314,0,1254,9,306,136
