A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,Glashôtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos Glashôtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
1265316,388453,467500,1249626,514508,237733,1003617,759214,926241,241806,892360,679148,610115,323063,839680,251614,875227,1044527,745455,413243,598320,217655,838705,592912,379432,39474,1066166,209701,1226457,982406,386692,1183466,73431,98738,644818,317582,1022260,843599,938915,639896,1136091,1234234,184240,883435,1161528,536296,369501,652197,921108,187647,765259,504273,988035,137470,447142,365323,125563,790015,779800,700260,677380,135926,811559,2450230,251720,393570,1043312,1174666,806240,1052471,789204,286562,929811,216588,864286,1285213,808623,968596
3301,6160,9644,6782,35149,1425,11653,29277,54189,285547,6581,6282,1454,30694,9079,25302,6148,460,8146,2877,1722,16222,7354,21804,644,37736,8186,10594,11039,20025,48784,21449,28042,11957,7523,793367,19067,16000,29202,277,1762,15743,13901,15463,19279,18301,70829,20851,26698,13986,16389,47895,508,4310,3195,5697,3922,18587,21312,36234,17250,7900,7533,31381,68361,41951,40465,3540,9315,253,77210,10375,1248,518,3846,10,13778,19402
2174,1946,8520,7266,38041,1185,10448,9778,30744,19662,6965,5209,2205,25234,5443,34981,4417,243,5390,2752,2125,8800,4774,18334,719,87373,21035,7046,11362,33350,11663,17227,27939,21069,13223,8754,23268,19690,15249,1842,2012,6465,7511,26518,30347,23544,119110,16926,25985,111251,17927,44656,441,2110,9037,9445,52096,47649,15808,61614,58314,4694,7488,38338,112190,88220,9446,7409,8362,177,34907,14646,1198,3180,4013,22,17047,11525
1078,1597,11467,3927,40533,1211,7557,13852,27699,23812,5828,6943,2429,16936,4941,24003,3777,307,2530,5671,2266,8076,2868,16635,707,85981,28083,4947,6838,160409,22986,18121,20799,35339,9303,5321,15993,23259,9490,6327,1094,5354,7044,18337,12685,27955,99087,21179,18508,633114,52808,22711,503,1234,6575,12711,960359,28669,7695,59711,28938,3585,7052,14940,139281,108467,7499,5457,8979,215,12221,28470,1401,22665,3498,44,10158,9126
775,10663,13199,3031,48991,2052,8086,10188,28272,55285,208897,10288,6110,13735,6715,28465,2622,183,1753,6404,1591,4684,2114,45262,630,102277,24746,4507,6256,11508,8201,8068,8623,31783,5862,4649,14123,21312,5047,3464,1229,2861,6357,7636,7826,31273,89903,40495,17561,1102,69755,27371,444,853,7042,10666,202172,28070,5972,64669,47744,2566,6091,9280,131972,51108,4756,10593,11121,192,11436,13806,1470,23004,2907,49,6965,8648
729,92071,16367,2583,40194,4615,8594,6755,23765,30705,3562,10509,9546,9481,10819,76631,2318,227,1625,840355,2332,3662,4418,29717,1006,53496,6422,4085,3177,6728,6555,4281,5441,50930,5183,5741,7792,29818,4403,2795,1012,2134,7708,8618,4434,40121,125986,39698,8623,701,48104,26977,493,732,7739,8487,61768,31170,4782,42301,19936,2409,6000,7445,110987,26900,3977,10562,6969,156,9301,20122,1478,23882,3107,53,5287,6310
3569,945,7586,1453,36706,15579,5713,6208,23774,27295,55416,9921,5586,18319,16504,56234,2100,196,1457,929,1116,2742,5970,18733,878,30217,4330,3556,2734,4954,6645,2860,6424,87430,4325,5252,6077,34221,3147,2070,846,1481,13909,6252,3191,51428,94160,55018,5115,905,24754,26022,407,649,4933,10177,27543,30812,3003,22949,34634,2258,6943,5739,78013,32784,3764,7783,4909,138,9063,13985,1058,26759,3028,36,4313,3946
3532,923,5123,1324,26304,65377,4599,5327,14502,32462,2268,8738,3970,18889,6347,31517,1951,208,1791,777,1437,3140,8081,15710,1380,19767,5245,3183,1933,3962,5080,1712,7773,107337,3926,12448,5126,30853,2618,2559,714,1130,123600,22212,2381,57878,89814,38360,4030,938,13872,22959,780,793,4339,9242,13305,23625,2590,23426,20385,2631,7631,4030,58683,27097,3288,5539,14250,52,7380,8370,1651,21719,2670,25,4107,3939
2243,1080,3830,1333,23440,78296,5225,4745,15735,31348,2446,6777,3896,10795,5660,24539,2244,262,1981,901,1312,2545,2451,14450,2554,21524,2575,3100,1579,2984,5719,1437,8580,131388,3620,6039,4873,28865,2073,1922,672,871,34564,10634,2159,58131,78913,44803,2789,1111,8396,22623,1151,617,3540,8637,6643,16547,2153,15569,22298,3029,6981,3726,44901,26050,3621,5310,13285,35,7688,6844,1396,20140,3132,16,4738,2474
980,5088,2820,1032,18070,47330,4577,3986,13566,28622,1906,6366,3597,25406,5572,33470,1670,217,2533,796,1222,2772,2151,13343,712499,17259,2035,2784,1184,2437,6152,1260,9753,108749,3324,9196,8282,26523,1917,2169,590,679,255653,11719,1982,51245,50743,105602,2456,1359,3506,17180,1069,574,3258,7144,3825,10001,2508,12807,38417,2632,6366,2816,31852,25812,3441,4623,6210,37,7454,5600,1663,16048,2670,7,70656,2014
795,12365,2341,1153,16208,44467,4545,4287,9583,37289,1487,9025,4264,26653,4781,25421,1658,388,2413,790,1158,2881,2110,13491,644,18601,2056,2959,1163,2148,7647,975,71839,87316,3983,17312,4300,21566,2014,2485,601,680,60566,4434,2014,42405,4077,42666,2495,1940,3057,15235,1149,535,3194,7039,4743,15139,2361,13174,49352,2376,5807,2834,24934,19622,4020,4144,8945,27,10000,4875,1480,16215,2475,3,5988,1814
425,1243,1775,969,16936,46550,54325,3891,14535,42723,4189,9843,3749,23972,6885,24729,1569,165,2374,687,908,3355,73178,13797,2111,17745,1856,3208,915,2147,8514,796,91295,60124,3984,10721,3995,22052,1968,3985,451,559,38793,4171,2036,31172,464,26427,2833,2134,2513,13693,1072,592,3172,7341,7285,19260,1723,11630,10560,2224,6326,3729,19747,17439,4042,3623,6630,29,11079,4754,2086,14991,2361,2,7095,1910
959,1425,1887,845,15026,47151,3262,3606,3116,35233,712,10765,3405,17069,5741,20930,1223,320,2400,813,1035,4750,2016,13247,416,25588,1767,3575,963,1773,7691,827,32728,40814,3580,5246,4057,14230,1799,7009,456,528,8964,6009,1877,23754,317,17198,2205,3447,2474,11993,1046,602,3050,7001,5903,9585,1520,9779,8441,2464,6026,1799,15784,15525,3640,2707,6414,16,10848,4724,2141,12109,2481,2,5182,1250
774,1435,2265,858,19880,50452,3122,3246,1905,22407,522,10219,3623,13137,31885,18072,1167,163,2383,636,861,4556,6765,12979,378,31343,1720,4502,1061,1653,8253,638,70335,34000,3647,4381,3439,12494,1689,2238,387,483,20000,8750,2002,16862,265,13502,1868,3647,2126,11706,1356,900,3582,6906,7339,3441,1443,9555,8196,2400,6542,1680,12245,10842,3817,2628,7315,19,10587,4354,5604,10412,2359,1,4500,1336
1404,1387,2632,817,14815,49839,2569,2941,1749,17894,546,12712,2309,11327,7201,15550,1029,281,2269,491,900,4929,3027,12324,377,37368,2126,5270,1129,1320,8131,485,111338,17845,3743,4308,3528,9484,1755,6581,384,401,4710,4348,1610,12800,232,8608,1609,4453,2204,9707,1269,937,2894,6895,6513,8725,1526,8556,5880,2351,6648,1201,10568,14050,3258,2463,5613,13,8569,3581,5066,9860,2753,1,4199,1393
2281,1393,2477,584,13661,46046,2728,3085,1934,14491,389,7858,2926,49195,4178,12226,1225,254,2202,451,849,5300,2548,12642,387,26120,2561,6889,1056,1218,9133,454,8574,23146,3906,6271,3253,9569,1589,3638,273,485,2786,6856,1866,11439,224,7517,1441,4199,2160,9832,1190,1777,2598,8104,7025,11004,1450,8933,3988,2437,6810,1474,9305,5029,3057,2623,5867,28,7811,3516,18946,9082,2626,1,5188,1065
